                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.80889,                0.49772,                 1.1273,                0.98281,                0.99766,                0.99475,                 0.8254,                0.72395,                0.45031,                 1.1071,              0.0013466,              0.0013466,              0.0013466
                     36,                0.79185,                0.48712,                 1.1265,                0.98958,                0.99409,                0.99493,                0.83858,                0.71053,                0.43325,                  1.079,              0.0013268,              0.0013268,              0.0013268
                     37,                0.77065,                0.48304,                 1.1082,                0.98578,                0.99651,                0.99474,                0.82515,                0.70286,                0.44113,                  1.076,               0.001307,               0.001307,               0.001307
                     38,                0.77782,                0.49153,                 1.1277,                 0.9896,                0.99633,                0.99453,                0.86223,                0.60893,                0.45451,                 1.0245,              0.0012872,              0.0012872,              0.0012872
                     39,                0.77545,                0.48733,                 1.1304,                0.99026,                0.97906,                0.99455,                0.85907,                0.62689,                0.44094,                 1.0322,              0.0012674,              0.0012674,              0.0012674
                     40,                0.76958,                0.50281,                 1.1088,                0.98785,                0.99285,                0.99484,                 0.8657,                 0.5883,                 0.3983,                 1.0104,              0.0012476,              0.0012476,              0.0012476
                     41,                0.76538,                 0.4799,                 1.1071,                0.98555,                0.99825,                0.99479,                 0.8357,                0.64503,                0.43374,                 1.0422,              0.0012278,              0.0012278,              0.0012278
                     42,                0.77961,                 0.4893,                 1.1434,                0.99824,                0.98987,                0.99498,                0.85628,                 0.6024,                0.40731,                 1.0272,               0.001208,               0.001208,               0.001208
                     43,                0.74094,                0.48463,                 1.1278,                0.99205,                0.98604,                0.99488,                0.84447,                0.67573,                0.47771,                 1.0892,              0.0011882,              0.0011882,              0.0011882
                     44,                0.74517,                0.47818,                 1.1105,                0.99243,                0.98953,                0.99486,                0.83956,                0.68194,                0.45958,                 1.0687,              0.0011684,              0.0011684,              0.0011684
                     45,                0.72514,                0.46263,                 1.0912,                0.98599,                0.98953,                0.99467,                0.86582,                0.60446,                0.43665,                 1.0223,              0.0011486,              0.0011486,              0.0011486
                     46,                0.72338,                0.45362,                 1.0873,                0.99302,                0.99258,                0.99495,                0.85489,                0.63563,                0.38448,                  1.053,              0.0011288,              0.0011288,              0.0011288
                     47,                0.70403,                0.43025,                 1.0777,                0.99643,                0.97486,                0.99401,                0.87989,                0.56903,                0.39179,                0.99263,               0.001109,               0.001109,               0.001109
                     48,                0.72193,                0.44292,                 1.0831,                0.99474,                0.99071,                0.99493,                0.87318,                0.58578,                0.36439,                 1.0073,              0.0010892,              0.0010892,              0.0010892
                     49,                0.71159,                0.43204,                 1.0857,                0.99825,                0.99365,                  0.995,                0.84195,                0.65868,                0.43129,                 1.0572,              0.0010694,              0.0010694,              0.0010694
                     50,                0.69653,                0.44615,                 1.0762,                0.98443,                0.99328,                0.99467,                0.87733,                0.57167,                0.38759,                0.99868,              0.0010496,              0.0010496,              0.0010496
                     51,                0.70766,                0.43946,                 1.0573,                0.99304,                0.99583,                0.99489,                0.87318,                0.63934,                0.38853,                 1.0293,              0.0010298,              0.0010298,              0.0010298
                     52,                0.73728,                0.44121,                 1.0843,                0.98682,                0.99302,                0.99483,                0.88312,                0.54691,                0.36799,                0.97947,                0.00101,                0.00101,                0.00101
                     53,                 0.7017,                0.43376,                  1.076,                0.98961,                0.99762,                0.99484,                0.86721,                0.58323,                0.36452,                 1.0012,              0.0009902,              0.0009902,              0.0009902
                     54,                0.65107,                0.41601,                 1.0622,                      1,                0.98943,                0.99496,                0.86962,                0.58721,                 0.3692,                0.98695,              0.0009704,              0.0009704,              0.0009704
                     55,                0.67094,                0.42138,                 1.0321,                0.99476,                0.99481,                0.99498,                0.88411,                0.54024,                0.37632,                0.97058,              0.0009506,              0.0009506,              0.0009506
                     56,                0.68052,                0.43074,                 1.0679,                0.99376,                0.98953,                0.99482,                0.87626,                0.57745,                0.36969,                0.99611,              0.0009308,              0.0009308,              0.0009308
                     57,                0.64216,                 0.4071,                 1.0469,                0.99056,                0.99127,                0.99481,                0.87893,                0.56753,                0.34829,                0.97449,               0.000911,               0.000911,               0.000911
                     58,                0.66648,                0.41332,                 1.0431,                0.99877,                0.99651,                  0.995,                0.88944,                0.53693,                0.35211,                0.97867,              0.0008912,              0.0008912,              0.0008912
                     59,                0.66559,                0.42661,                 1.0501,                      1,                0.99819,                  0.995,                0.88075,                0.54146,                0.36145,                0.97284,              0.0008714,              0.0008714,              0.0008714
                     60,                0.66635,                 0.4223,                  1.046,                0.98453,                0.99944,                0.99465,                0.88778,                0.52747,                0.35744,                0.96724,              0.0008516,              0.0008516,              0.0008516
                     61,                0.67416,                0.41609,                 1.0609,                0.99473,                0.99825,                  0.995,                0.87553,                0.54224,                0.34942,                0.97995,              0.0008318,              0.0008318,              0.0008318
                     62,                0.67532,                0.41619,                 1.0624,                 0.9861,                0.99074,                0.99455,                0.87679,                 0.5335,                0.43095,                0.97827,               0.000812,               0.000812,               0.000812
                     63,                0.66546,                 0.4236,                 1.0551,                0.99967,                0.99825,                  0.995,                0.85128,                0.59722,                0.60494,                 1.0013,              0.0007922,              0.0007922,              0.0007922
                     64,                0.63693,                0.39851,                 1.0365,                0.99019,                0.99651,                0.99495,                0.89252,                0.51947,                0.34512,                0.99702,              0.0007724,              0.0007724,              0.0007724
                     65,                0.65652,                0.39342,                 1.0598,                0.99035,                0.98778,                0.99476,                0.86495,                0.63835,                 0.3599,                 0.9929,              0.0007526,              0.0007526,              0.0007526
                     66,                0.65647,                0.39036,                 1.0268,                0.99953,                0.99825,                  0.995,                0.89356,                0.53515,                0.31888,                0.95639,              0.0007328,              0.0007328,              0.0007328
                     67,                0.61512,                0.38052,                 1.0026,                0.99499,                0.99651,                0.99493,                0.89519,                0.51062,                 0.3238,                 0.9682,               0.000713,               0.000713,               0.000713
                     68,                0.66388,                0.40055,                 1.0697,                0.99302,                0.99337,                0.99498,                0.85855,                0.60113,                0.36713,                 1.0204,              0.0006932,              0.0006932,              0.0006932
                     69,                  0.642,                0.39391,                 1.0399,                0.99885,                0.99302,                  0.995,                0.87862,                0.53721,                0.34244,                0.98778,              0.0006734,              0.0006734,              0.0006734
                     70,                0.61088,                0.38112,                  1.019,                0.99824,                0.99251,                  0.995,                0.87639,                0.55343,                0.33346,                0.95963,              0.0006536,              0.0006536,              0.0006536
                     71,                0.61219,                0.37535,                 1.0285,                0.99961,                0.99302,                  0.995,                0.89208,                0.50698,                0.31288,                0.94181,              0.0006338,              0.0006338,              0.0006338
                     72,                0.61946,                0.38521,                 1.0188,                      1,                 0.9856,                0.99495,                0.89423,                0.51152,                0.32486,                0.97604,               0.000614,               0.000614,               0.000614
                     73,                0.59817,                0.37831,                 1.0197,                0.99933,                      1,                  0.995,                0.90491,                0.48832,                 0.3286,                0.94432,              0.0005942,              0.0005942,              0.0005942
                     74,                0.59811,                 0.3739,                 1.0053,                0.99628,                0.99476,                0.99496,                0.90709,                0.46682,                0.31043,                0.93123,              0.0005744,              0.0005744,              0.0005744
                     75,                0.60819,                0.38199,                 1.0438,                0.99592,                      1,                  0.995,                0.90481,                0.47182,                0.30655,                0.93319,              0.0005546,              0.0005546,              0.0005546
                     76,                0.59384,                0.36606,                0.99401,                0.99965,                0.99651,                  0.995,                 0.9025,                 0.4811,                0.29894,                0.93731,              0.0005348,              0.0005348,              0.0005348
                     77,                 0.5773,                0.35407,                  1.016,                0.99802,                0.99825,                  0.995,                0.90853,                0.45926,                0.31683,                0.92962,               0.000515,               0.000515,               0.000515
                     78,                0.56342,                0.34802,                0.99435,                0.99927,                0.99825,                  0.995,                 0.9031,                0.49588,                0.31062,                0.93271,              0.0004952,              0.0004952,              0.0004952
                     79,                0.57242,                0.34391,                0.97456,                0.99826,                0.99969,                  0.995,                0.90856,                0.47165,                0.29462,                0.91892,              0.0004754,              0.0004754,              0.0004754
                     80,                0.59832,                 0.3571,                 1.0115,                0.99826,                0.99957,                  0.995,                0.90959,                0.46385,                0.29577,                0.92096,              0.0004556,              0.0004556,              0.0004556
                     81,                0.58787,                0.35466,                 1.0043,                0.99637,                      1,                  0.995,                0.90508,                0.48006,                0.30088,                0.92293,              0.0004358,              0.0004358,              0.0004358
                     82,                0.56461,                0.35325,                0.98858,                 0.9999,                0.99476,                  0.995,                0.90195,                0.46355,                0.30134,                0.92885,               0.000416,               0.000416,               0.000416
                     83,                0.55751,                0.35849,                0.99927,                0.99651,                0.99526,                  0.995,                0.91337,                0.44519,                0.29458,                0.92669,              0.0003962,              0.0003962,              0.0003962
                     84,                 0.5705,                0.34915,                 1.0043,                0.99965,                      1,                  0.995,                0.91474,                 0.4395,                0.29232,                0.91797,              0.0003764,              0.0003764,              0.0003764
                     85,                0.54608,                0.33854,                0.99638,                0.99478,                0.99786,                  0.995,                0.89611,                0.49275,                0.29659,                0.93798,              0.0003566,              0.0003566,              0.0003566
                     86,                0.54956,                0.33795,                0.98577,                0.98445,                0.99825,                0.98965,                0.87753,                0.52804,                0.33947,                0.94636,              0.0003368,              0.0003368,              0.0003368
                     87,                 0.5474,                0.33727,                0.98598,                0.99765,                      1,                  0.995,                0.90421,                0.46446,                0.28692,                0.92672,               0.000317,               0.000317,               0.000317
                     88,                0.55047,                0.33544,                0.98472,                0.99826,                0.99948,                  0.995,                0.90791,                0.44945,                0.30019,                0.92976,              0.0002972,              0.0002972,              0.0002972
                     89,                0.54755,                0.34189,                  0.978,                0.99845,                0.99651,                  0.995,                0.90302,                0.46342,                0.29925,                 0.9227,              0.0002774,              0.0002774,              0.0002774
                     90,                0.55655,                0.34408,                0.98954,                0.99826,                0.99869,                  0.995,                0.92068,                0.43384,                0.27169,                0.90741,              0.0002576,              0.0002576,              0.0002576
                     91,                0.47557,                0.30134,                0.93927,                0.99825,                0.99776,                0.99498,                0.90942,                0.46287,                0.28364,                0.91508,              0.0002378,              0.0002378,              0.0002378
                     92,                0.48438,                0.29671,                0.94641,                 0.9997,                0.99825,                  0.995,                0.91095,                0.46204,                0.27629,                0.90663,               0.000218,               0.000218,               0.000218
                     93,                0.47805,                0.28959,                 0.9348,                 0.9998,                0.99825,                  0.995,                0.91264,                0.44744,                0.27397,                0.90415,              0.0001982,              0.0001982,              0.0001982
                     94,                0.46356,                0.28952,                0.92119,                0.99946,                      1,                  0.995,                0.91076,                0.44849,                0.28276,                0.90545,              0.0001784,              0.0001784,              0.0001784
                     95,                0.46761,                0.28577,                0.92995,                0.99609,                0.99825,                  0.995,                0.91639,                0.43919,                0.27122,                  0.903,              0.0001586,              0.0001586,              0.0001586
                     96,                0.46964,                 0.2891,                0.93703,                0.99904,                0.99651,                  0.995,                0.91717,                0.42868,                0.26826,                0.90431,              0.0001388,              0.0001388,              0.0001388
                     97,                0.46152,                0.28625,                0.93685,                0.99971,                0.99825,                  0.995,                0.91175,                0.44651,                0.26884,                0.89839,               0.000119,               0.000119,               0.000119
                     98,                0.44658,                0.27827,                0.91936,                0.99964,                0.99825,                  0.995,                0.92606,                0.42171,                 0.2572,                0.89551,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.46306,                0.28569,                0.94202,                0.99953,                0.99825,                  0.995,                0.92386,                0.42246,                 0.2599,                0.89263,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.44154,                0.27217,                0.93936,                0.99944,                0.99825,                  0.995,                0.92725,                 0.4227,                0.25561,                0.89323,               5.96e-05,               5.96e-05,               5.96e-05
