                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.203,                 4.4379,                 4.4973,                0.00129,                0.26174,                0.00576,                0.00175,                 2.2534,                 4.1678,                 4.1588,                0.00016,                0.00016,                0.00016
                      2,                 3.1382,                 3.9289,                 4.2663,                0.00136,                0.26174,                0.00315,                0.00113,                 2.2544,                  4.167,                 4.1608,              0.0002278,              0.0002278,              0.0002278
                      3,                 3.0448,                 3.6347,                 4.1615,                0.00137,                0.26174,                0.01103,                0.00245,                 2.2562,                 4.1647,                 4.1657,              0.0001768,              0.0001768,              0.0001768
